Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
230,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.87,128,Adult,Male,08-10-2023,Indonesia (Papua),Rivers,Least Concern,Douglas Vasquez,Win direction feel season similar fly rock.
231,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,0.82,93.9,Hatchling,Male,23-08-2012,Venezuela,Flooded Savannas,Critically Endangered,Ann Alexander,Scientist service test start middle city.
232,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.14,336.8,Subadult,Unknown,15-11-2013,Nigeria,Rivers,Least Concern,Jonathon Taylor,These ahead cover strategy student economic lead truth relate ever statement measure play.
233,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.94,54.2,Subadult,Unknown,22-07-2020,Australia,Freshwater Rivers,Least Concern,Andre Watson,Land whether listen necessary general study else store bed agree.
234,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.98,190.6,Adult,Female,31-01-2024,Sudan,Rivers,Least Concern,Scott Chan,Tax positive question especially important after.
235,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.74,48.3,Juvenile,Female,07-10-2008,Papua New Guinea,Rivers,Least Concern,Patricia Smith,Positive over across education source figure whom poor.
236,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.07,93.2,Adult,Male,28-08-2013,Côte d'Ivoire,Swamps,Critically Endangered,James Bailey,Design few minute perhaps once account yourself.
237,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.94,139.7,Adult,Unknown,03-01-2022,Indonesia (Borneo),Rivers,Data Deficient,Sara Hoffman,Participant fear blue as write political technology end represent throughout federal change she tonight south sort outside.
238,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,1.01,84.2,Juvenile,Male,31-07-2012,Venezuela,Brackish Rivers,Vulnerable,Melanie Griffith,Young else industry home along remain occur.
239,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.79,133.3,Adult,Female,26-10-2019,Malaysia (Borneo),Estuarine Systems,Data Deficient,Nicholas Walker,Point little wait grow feel color price next family likely scientist.
240,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,1.9,55.3,Adult,Unknown,10-10-2015,Mexico,Swamps,Least Concern,Kristin Gaines,Pressure develop development the inside thought.
241,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.88,57.7,Subadult,Male,26-05-2019,Philippines,Freshwater Marshes,Critically Endangered,Kevin Ford,Like term on want author threat matter test.
242,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,1.99,78.3,Subadult,Unknown,04-03-2007,Mali,Oases,Least Concern,Edwin Brown,Case customer important notice trade leader first resource.
243,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.46,23.3,Adult,Unknown,30-05-2020,Central African Republic,Forest Swamps,Data Deficient,Katherine Welch,Finish around later decide similar office citizen size sister can.
244,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.69,45.7,Adult,Unknown,30-11-2018,Australia,Freshwater Rivers,Least Concern,Jeffrey Patterson,Himself also current health add focus street course quality phone eat really general can himself.
245,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.14,143,Juvenile,Unknown,03-07-2025,Venezuela,Large Rivers,Critically Endangered,Carol Colon,Way lay minute model its rather card you majority seek close.
246,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.42,25.1,Adult,Unknown,07-03-2018,Central African Republic,Forest Swamps,Data Deficient,Robin Smith,Road capital safe operation college hand practice also theory eight.
247,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.07,84.4,Adult,Male,16-08-2022,Cuba,Swamps,Critically Endangered,Amber Vang,President after ready indicate herself natural listen check.
248,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,1.52,52.5,Juvenile,Male,17-11-2013,Laos,Oxbow Lakes,Critically Endangered,Lorraine Turner,Production establish paper case store bit.
249,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.55,405.8,Juvenile,Unknown,09-12-2014,Indonesia,Tidal Rivers,Least Concern,Autumn Wilson,Marriage participant sing story win group important civil.
250,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,2.8,165.3,Adult,Male,23-07-2016,Cuba,Coastal Lagoons,Vulnerable,Susan Watts,Former able public trade structure protect chance bed memory rich big eight.
251,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.24,13.5,Adult,Male,10-10-2023,Guinea,Forest Swamps,Vulnerable,William Phillips,Anyone spend them system growth quality international.
252,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.89,169.2,Subadult,Male,10-05-2013,Côte d'Ivoire,Swamps,Critically Endangered,Samuel Zamora,System professional color group.
253,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.86,164.1,Adult,Female,13-08-2005,Gabon,Forest Rivers,Endangered,Marco Johns,Head garden box hundred lead.
254,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,0.38,22,Hatchling,Male,20-08-2015,Philippines,Ponds,Critically Endangered,Melissa Mendoza,Power someone both receive around wall city indeed opportunity.
255,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.56,437.1,Adult,Female,27-08-2010,Uganda,Reservoirs,Least Concern,Meghan White,Single particularly television they road through low maintain thought key.
256,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.03,10.4,Adult,Unknown,05-05-2011,Liberia,Forest Swamps,Vulnerable,Matthew Smith,Should office north within prove full mission red believe product eat generation put his stuff next.
257,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.51,241.3,Adult,Unknown,14-09-2011,Cuba,Estuaries,Vulnerable,Amy Schneider MD,System thank avoid man drive wife anyone development poor idea dog learn soon large task language.
258,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.53,233.8,Adult,Unknown,28-07-2005,Pakistan,Reservoirs,Vulnerable,Jonathan Valdez,Idea along near stay social white point.
259,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.06,162.8,Subadult,Unknown,09-08-2022,Malaysia (Borneo),Estuarine Systems,Data Deficient,Kristina Pena,Wear guy approach development lawyer nice people list price respond box service develop game stop who.
260,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.86,107.4,Adult,Male,31-03-2020,Australia,Gorges,Least Concern,Joseph Park,To manage state score.
261,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.87,160.3,Subadult,Female,16-03-2006,Iran (historic),Lakes,Vulnerable,David Gonzalez,Us hotel lead sit response blue increase unit study.
262,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.1,59.1,Adult,Male,29-06-2009,Philippines,Rivers,Critically Endangered,Patricia Hayes,What care material morning any very stuff lot meet TV concern official room campaign hold over third.
263,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.56,47.1,Juvenile,Female,12-09-2009,Cuba,Freshwater Wetlands,Critically Endangered,Janice Petty,Event white wife laugh card include record security federal reduce team.
264,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,0.58,75.8,Hatchling,Male,03-01-2025,Costa Rica,Estuaries,Vulnerable,Taylor Chen,Decide research rather TV car.
265,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4,438.8,Subadult,Male,09-09-2011,Tanzania,Reservoirs,Least Concern,Vanessa Thompson,Reason follow break good lose number project individual security subject experience suggest space mission agent certainly prove customer.
266,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.05,11.9,Subadult,Male,27-09-2009,Cameroon,Forest Swamps,Vulnerable,Candace Mitchell,Chair artist six daughter must grow laugh pattern push no difference positive.
267,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.82,223,Adult,Unknown,03-02-2006,Venezuela,Large Rivers,Critically Endangered,Jorge Robles,Realize another high indicate small.
268,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.08,418.9,Juvenile,Female,10-06-2014,Malaysia,Estuaries,Least Concern,Tracy Brown,Data than team kitchen difficult plant remember happy open school cultural right.
269,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.85,151.8,Adult,Female,23-07-2007,Cambodia,Swamps,Critically Endangered,Jerry Lucero,Cost community message help investment news.
270,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.31,84.8,Adult,Unknown,06-12-2025,Philippines,Rivers,Critically Endangered,Kevin Scott,Letter visit always up others similar personal successful feeling.
271,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,2.68,286.7,Juvenile,Unknown,09-03-2010,South Africa,Marshes,Least Concern,Krista Jones,Moment whatever minute skill city myself idea glass third professional.
272,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.08,82.8,Adult,Female,26-07-2021,Guinea,Shaded Forest Rivers,Critically Endangered,Edward Clements,Most you statement wonder across protect knowledge toward.
273,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,5.18,848.2,Adult,Unknown,01-02-2007,Tanzania,Marshes,Least Concern,Lisa Haley,High someone box either rich agency might side.
274,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.67,118.9,Adult,Unknown,16-11-2024,Mexico,Swamps,Least Concern,Katie Tucker,Together court message way cold what Mrs.
275,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.19,541.7,Adult,Female,18-09-2018,Australia,Mangroves,Least Concern,Austin Santiago,Ten interest billion Mrs reflect wish simple position vote section child.
276,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.69,125.4,Adult,Unknown,09-10-2016,Congo Basin Countries,Forest Rivers,Endangered,Gary Miller,Concern edge audience start treat imagine later.
277,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.28,15.4,Subadult,Unknown,03-01-2025,Ghana,Forest Swamps,Vulnerable,Eugene Price,Movement political peace series.
278,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.25,253.9,Subadult,Unknown,30-12-2009,Colombia,Flooded Savannas,Critically Endangered,Mercedes Jones,Blood skin feeling beat she join house produce listen mouth carry.
279,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,1.78,96.7,Juvenile,Male,18-01-2014,Colombia,Coastal Lagoons,Vulnerable,Robert Gardner,Fear thought whole term possible whatever action themselves center among.
280,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.51,23.7,Adult,Female,24-02-2013,Congo (DRC),Forest Swamps,Data Deficient,Jennifer Kelley,Fight security tough gas include position mention claim determine.
281,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.76,48.7,Juvenile,Female,19-12-2012,Indonesia (Papua),Rivers,Least Concern,Cheyenne White,System surface usually yes leave near fact attack better rise maintain former campaign pretty beyond people too fish.
282,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.33,69.2,Adult,Male,17-09-2007,Papua New Guinea,Freshwater Wetlands,Least Concern,Luis Torres,Charge note space when collection finish size Republican political everybody growth quickly former lose knowledge simple main.
283,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.02,71.7,Subadult,Male,10-03-2016,Philippines,Ponds,Critically Endangered,Matthew Miller,Teach cause Mrs enjoy though.
284,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.31,21.1,Subadult,Unknown,08-10-2024,Central African Republic,Slow Streams,Data Deficient,Bernard Smith,Place spend often shoulder defense already end thus music president chance.
285,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.76,125.2,Adult,Unknown,28-06-2016,Laos,Oxbow Lakes,Critically Endangered,Steven Lawrence,Card may bed hair action draw who word range serious cell city not.
286,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.29,83.8,Subadult,Unknown,01-08-2019,Papua New Guinea,Rivers,Least Concern,Shelby Thomas,Voice American seven discussion enough doctor protect military social hold truth thing always possible billion why.
287,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.89,144.5,Adult,Unknown,10-10-2021,Indonesia (Papua),Swamps,Least Concern,Denise Harmon,Name community president half president structure might heavy.
288,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.18,15.7,Adult,Male,30-10-2023,Guinea,Small Streams,Vulnerable,Kelli Gomez,Main lot page maybe catch close baby poor deep.
289,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.2,16.9,Adult,Unknown,08-07-2019,Central African Republic,Forest Swamps,Data Deficient,Jack Love,Produce increase form box push look opportunity positive improve during.
290,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.47,30.9,Juvenile,Female,14-08-2023,Australia,Gorges,Least Concern,Kevin Taylor,Always occur argue election conference when out nor affect rest product exist beat.
291,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.36,20.2,Adult,Male,12-03-2009,Congo (DRC),Forest Swamps,Data Deficient,Willie Dillon,Detail improve central old should perhaps member cold rate.
292,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.96,637.2,Subadult,Male,30-10-2025,Indonesia,Estuaries,Least Concern,Linda Jones,History board dark teacher mean information change benefit live pass.
293,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,3.06,180.7,Adult,Unknown,13-07-2006,Congo Basin Countries,Forest Rivers,Endangered,Richard Gordon,Behavior process top much ability visit question issue inside.
294,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.11,14.6,Subadult,Unknown,27-08-2015,Congo (DRC),Forest Swamps,Data Deficient,Melissa Patterson,Smile high open scientist seven recent best care local discussion teacher exist theory.
295,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.15,187.8,Adult,Male,28-08-2013,Liberia,Swamps,Critically Endangered,Colin Fletcher,Official brother according.
296,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.64,25,Adult,Male,03-10-2008,Ghana,Forest Swamps,Vulnerable,Melissa Stewart,Blood international one end movie north partner.
297,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.48,104.1,Adult,Female,03-07-2019,Philippines,Ponds,Critically Endangered,Jennifer Harris DDS,Lot have never effect fill general relationship save talk process.
298,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,1.63,169.1,Juvenile,Unknown,27-01-2014,South Africa,Marshes,Least Concern,Jillian Lyons,Beyond meet skill song.
299,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.78,153.8,Adult,Unknown,10-01-2024,Mali,Lakes,Least Concern,Melinda Williams,Who accept before certainly unit itself ask develop bag also his worker pass minute represent.
300,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.79,101.5,Subadult,Male,19-12-2016,Mexico,Swamps,Least Concern,Theresa Wilkins,Keep cut prevent sound experience almost outside middle discuss college already dream a church.
301,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.35,23,Adult,Unknown,15-05-2013,Congo (DRC),Forest Swamps,Data Deficient,Penny Gomez MD,Customer address region try near risk next on girl.
302,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.62,437.6,Adult,Unknown,17-09-2012,India,Coastal Wetlands,Least Concern,Courtney Mccarty,Upon offer end imagine blood authority family water sort what then spend offer reason whom none.
303,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.61,119.8,Adult,Unknown,07-05-2015,Cuba,Swamps,Critically Endangered,Nina Ali,Race to television loss election him small detail.
304,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.18,76.2,Adult,Male,25-05-2011,Cambodia,Slow Rivers,Critically Endangered,Rebecca Gutierrez,Might act strategy eat behavior purpose start away use live government.
305,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.06,75.7,Subadult,Male,10-01-2012,Cameroon,Forest Rivers,Endangered,Debra Valentine,Material current save their deal dark economic peace choose blood.
306,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.92,150.7,Adult,Male,25-06-2019,Cambodia,Swamps,Critically Endangered,Megan Alvarado,According tax when summer he firm together thing off ever consumer.
307,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.12,15.5,Adult,Unknown,13-09-2005,Central African Republic,Forest Swamps,Data Deficient,Kayla Sanders,Campaign moment institution vote allow girl team.
308,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.47,25.1,Subadult,Female,02-01-2008,Central African Republic,Forest Swamps,Data Deficient,Joyce Martinez,Least ready activity decision ok foot party employee nature down likely party hand material decision.
309,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.51,43.1,Juvenile,Male,14-09-2017,Papua New Guinea,Rivers,Least Concern,Jacqueline Dickerson,Late number without rather sport result sound new task cultural.
310,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.65,449.3,Juvenile,Female,03-08-2025,Papua New Guinea,Estuaries,Least Concern,Nancy Kennedy,Computer matter yet.
311,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.26,83.5,Adult,Unknown,25-11-2008,Indonesia (Papua),Rivers,Least Concern,Kelly Le,Feel no nothing huge real art sport live picture last free guess night use.
312,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.34,43.5,Juvenile,Female,03-12-2015,Papua New Guinea,Freshwater Wetlands,Least Concern,Alejandro Martinez,Current office power company sister great pull maintain say threat high expert place certain cold space front piece occur.
313,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.51,59.1,Juvenile,Unknown,02-03-2010,Cuba,Swamps,Critically Endangered,Andrea Martin,Finish president report painting house thought.
314,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.79,33.9,Juvenile,Male,14-02-2019,Congo Basin Countries,Forest Rivers,Endangered,Teresa Adkins,Whole including contain age road product wait red bag cold.
315,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.33,658.3,Adult,Unknown,30-04-2021,Malaysia,Tidal Rivers,Least Concern,Arthur Johns,Approach side model you billion peace base use hope.
316,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.67,48.8,Adult,Male,24-12-2018,Philippines,Freshwater Marshes,Critically Endangered,Oscar Ramos,Capital stuff agreement professional team foot live window.
317,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.94,142.5,Adult,Unknown,08-05-2020,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered,Denise Wallace,Computer our piece player nor model police finally girl.
318,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.9,121.2,Juvenile,Unknown,04-02-2017,Venezuela,Flooded Savannas,Critically Endangered,Regina Ramos,Include choose action model serve carry expert movement reach man sense federal she something.
319,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.81,138.5,Adult,Female,11-11-2012,Indonesia (Borneo),Estuarine Systems,Data Deficient,Rebecca Kelley,In night house clear say hope.
320,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.97,181.1,Adult,Male,28-08-2016,Cambodia,Swamps,Critically Endangered,Dennis Henderson,Might son party really even possible mother especially.
321,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.73,104.6,Adult,Unknown,15-03-2013,Indonesia (Papua),Rivers,Least Concern,Barry Taylor,Pm pay evening performance could affect anyone movement.
322,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.73,45.3,Subadult,Unknown,06-12-2013,Philippines,Ponds,Critically Endangered,Brian Adams,Road do character management game find son your.
323,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.22,193.4,Subadult,Unknown,03-03-2006,Sri Lanka,Marshes,Vulnerable,Rick Rivera,Argue simply author like.
324,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.3,218,Subadult,Female,09-10-2018,USA (Florida),Mangroves,Vulnerable,Ryan Roth,Business should eat.
325,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.8,218,Subadult,Unknown,31-08-2020,Venezuela,Large Rivers,Critically Endangered,Jessica Rojas,Current same behind.
326,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.28,73.1,Adult,Unknown,06-05-2005,Papua New Guinea,Freshwater Wetlands,Least Concern,Christine Price,View city rock seat near business loss federal growth appear project wind door.
327,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.75,42.5,Juvenile,Female,23-11-2017,Australia,Billabongs,Least Concern,Adrian Bauer,Build smile across among situation little other he become citizen.
328,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3,130.3,Adult,Female,26-08-2024,Malaysia (Borneo),Estuarine Systems,Data Deficient,Luke Galvan,Art green child movie blue maintain first next popular girl through run again help right economy.
329,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.72,33.5,Juvenile,Male,08-03-2020,Congo Basin Countries,Forest Rivers,Endangered,Michael Hansen,Recent couple cost girl run every story trial never attention choice fast enjoy happen.
330,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.23,83.7,Adult,Male,09-06-2017,Indonesia (Borneo),Estuarine Systems,Data Deficient,Mark Gray,Third people hair per fly as whose standard couple.
331,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.86,50.8,Juvenile,Male,29-07-2024,Papua New Guinea,Freshwater Wetlands,Least Concern,Pamela Moore,Follow political book model at strong candidate them.
332,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.57,40.7,Juvenile,Male,21-02-2022,Philippines,Rivers,Critically Endangered,John Garcia,Politics home majority perhaps opportunity any determine responsibility actually TV pretty up story life.
333,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.33,82,Adult,Unknown,15-04-2011,Indonesia (Papua),Lakes,Least Concern,Heather Paul,State some around pay more same strong back democratic.
334,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.81,493.9,Subadult,Female,17-06-2020,Australia,Estuaries,Least Concern,Ashley Hall,Country moment eat personal condition see indeed black police.
335,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,1.36,45.7,Juvenile,Female,15-02-2009,Chad,Lakes,Least Concern,Jimmy Ortega,Coach Congress husband front citizen your.
336,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,0.87,30.9,Juvenile,Male,16-06-2017,Malaysia (Borneo),Estuarine Systems,Data Deficient,Harold Edwards,Suddenly include plan step food drive nation heart nearly.
337,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.94,71.6,Juvenile,Unknown,28-02-2021,Cuba,Swamps,Critically Endangered,Heather Chavez,A alone expect administration career three according worker Democrat fire sign.
338,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.81,127.1,Adult,Female,26-10-2023,Cambodia,Swamps,Critically Endangered,Samantha Ellison,News unit choice also green catch happen old do specific begin hundred truth.
339,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.13,74.7,Adult,Unknown,28-01-2017,Thailand,Swamps,Critically Endangered,Misty Mcguire,Major together reflect standard believe politics also space high.
340,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.59,90.2,Subadult,Male,15-05-2019,Indonesia (Papua),Swamps,Least Concern,Tammy Cook,Indicate test thank dinner present own activity since him fight American music change.
341,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.05,188,Adult,Female,01-02-2011,Colombia,Mangroves,Vulnerable,Connie Williams,Wife send offer bed it skill challenge from live seat nature energy huge its recently.
342,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.32,230.9,Adult,Unknown,25-10-2021,Guinea,Shaded Forest Rivers,Critically Endangered,Karen Gonzalez,Present cultural pattern save east author since food.
343,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.28,97.8,Adult,Female,22-02-2010,Mauritania,Oases,Least Concern,Ann Powers,Half couple general pretty show college glass start sort perhaps key.
344,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.95,170,Subadult,Female,21-04-2017,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered,Cynthia Jennings,Serious table both approach we unit than star add really born.
345,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.49,305.4,Adult,Unknown,12-12-2011,Colombia,Flooded Savannas,Critically Endangered,Alexander Clark,Deep national seek nature performance yeah reason property heavy town money eight art customer recent even let.
346,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,0.61,56.4,Hatchling,Female,08-06-2011,Pakistan,Lakes,Vulnerable,Andrea Guerrero,Ten affect test power discuss herself with between firm term mother cost may.
347,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.1,87.2,Adult,Male,27-03-2014,Congo Basin Countries,Swamps,Endangered,Timothy Smith,Two figure majority season adult range green few you without.
348,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.8,149.4,Subadult,Unknown,11-02-2023,Nepal,Reservoirs,Vulnerable,Antonio Scott,Three spring ahead never exactly charge today prevent because him whether partner personal dinner drive.
349,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.92,166.7,Adult,Female,17-09-2020,Vietnam,Slow Rivers,Critically Endangered,Wesley Browning,Last capital present ok range dark catch read together travel involve.
350,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,2.04,168.7,Juvenile,Male,19-05-2008,Kenya,Reservoirs,Least Concern,Patricia Douglas,True fish newspaper we brother fish they risk she they increase.
351,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,0.24,32.3,Hatchling,Male,05-04-2006,Indonesia (Papua),Swamps,Least Concern,Jeremy Peck,Charge could capital ago worry pay.
352,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,0.9,9,Juvenile,Female,18-07-2010,Congo (DRC),Forest Swamps,Data Deficient,Lisa Carlson,Reach grow read live maybe painting Republican hear system man case.
353,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.59,87.1,Subadult,Unknown,07-09-2016,Mexico,Rivers,Least Concern,Andrew Duran,Understand wear development provide dark daughter computer.
